iso3,overlay,entity_count,coverage_flag
LBR,none,18,present
LBY,media,0,missing
LBY,tech_platform,1,present
LBY,telecom,0,missing
LBY,defense,0,missing
LBY,security,0,missing
LBY,finance,0,missing
LBY,critical_infra,0,missing
LBY,energy,0,missing
LBY,none,3,present
LCA,media,0,missing
LCA,tech_platform,0,missing
LCA,telecom,0,missing
LCA,defense,0,missing
LCA,security,0,missing
LCA,finance,0,missing
LCA,critical_infra,0,missing
LCA,energy,0,missing
LCA,none,0,missing
LIE,media,0,missing
LIE,tech_platform,0,missing
LIE,telecom,0,missing
LIE,defense,0,missing
LIE,security,0,missing
LIE,finance,0,missing
LIE,critical_infra,0,missing
LIE,energy,0,missing
LIE,none,0,missing
LKA,media,0,missing
LKA,tech_platform,0,missing
LKA,telecom,0,missing
LKA,defense,0,missing
LKA,security,0,missing
LKA,finance,0,missing
LKA,critical_infra,0,missing
LKA,energy,0,missing
LKA,none,21,present
LSO,media,0,missing
LSO,tech_platform,0,missing
LSO,telecom,0,missing
LSO,defense,0,missing
LSO,security,0,missing
LSO,finance,0,missing
LSO,critical_infra,0,missing
LSO,energy,0,missing
LSO,none,13,present
LTU,media,0,missing
LTU,tech_platform,4,present
LTU,telecom,0,missing
LTU,defense,0,missing
LTU,security,0,missing
LTU,finance,0,missing
LTU,critical_infra,0,missing
LTU,energy,0,missing
LTU,none,24,present
LUX,media,0,missing
LUX,tech_platform,4,present
LUX,telecom,0,missing
LUX,defense,0,missing
LUX,security,0,missing
LUX,finance,0,missing
LUX,critical_infra,0,missing
LUX,energy,0,missing
LUX,none,18,present
LVA,media,19,present
LVA,tech_platform,6,present
LVA,telecom,0,missing
LVA,defense,0,missing
LVA,security,0,missing
LVA,finance,0,missing
LVA,critical_infra,1,present
LVA,energy,0,missing
LVA,none,28,present
MAR,media,0,missing
MAR,tech_platform,3,present
MAR,telecom,0,missing
MAR,defense,0,missing
MAR,security,0,missing
MAR,finance,0,missing
MAR,critical_infra,0,missing
MAR,energy,0,missing
MAR,none,13,present
MCO,media,0,missing
MCO,tech_platform,0,missing
MCO,telecom,0,missing
MCO,defense,0,missing
MCO,security,0,missing
MCO,finance,0,missing
MCO,critical_infra,0,missing
MCO,energy,0,missing
MCO,none,0,missing
MDA,media,0,missing
MDA,tech_platform,3,present
MDA,telecom,0,missing
MDA,defense,0,missing
MDA,security,0,missing
MDA,finance,1,present
MDA,critical_infra,0,missing
MDA,energy,0,missing
MDA,none,17,present
MDG,media,0,missing
MDG,tech_platform,2,present
MDG,telecom,0,missing
MDG,defense,0,missing
MDG,security,0,missing
MDG,finance,0,missing
MDG,critical_infra,2,present
MDG,energy,7,present
MDG,none,10,present
MDV,media,0,missing
MDV,tech_platform,0,missing
MDV,telecom,0,missing
MDV,defense,0,missing
MDV,security,0,missing
MDV,finance,0,missing
MDV,critical_infra,0,missing
MDV,energy,0,missing
MDV,none,11,present
MEX,media,0,missing
MEX,tech_platform,1,present
MEX,telecom,0,missing
MEX,defense,0,missing
MEX,security,0,missing
MEX,finance,0,missing
MEX,critical_infra,0,missing
MEX,energy,0,missing
MEX,none,15,present
MHL,media,0,missing
MHL,tech_platform,0,missing
MHL,telecom,0,missing
MHL,defense,0,missing
MHL,security,0,missing
MHL,finance,0,missing
MHL,critical_infra,0,missing
MHL,energy,0,missing
MHL,none,0,missing
MKD,media,0,missing
MKD,tech_platform,4,present
MKD,telecom,0,missing
MKD,defense,0,missing
MKD,security,0,missing
MKD,finance,0,missing
MKD,critical_infra,1,present
MKD,energy,0,missing
MKD,none,13,present
MLI,media,0,missing
MLI,tech_platform,0,missing
MLI,telecom,0,missing
MLI,defense,0,missing
MLI,security,0,missing
MLI,finance,0,missing
MLI,critical_infra,0,missing
MLI,energy,0,missing
MLI,none,12,present
MLT,media,0,missing
MLT,tech_platform,0,missing
MLT,telecom,0,missing
MLT,defense,0,missing
MLT,security,0,missing
MLT,finance,0,missing
MLT,critical_infra,0,missing
MLT,energy,0,missing
MLT,none,11,present
MMR,media,0,missing
MMR,tech_platform,2,present
MMR,telecom,0,missing
MMR,defense,0,missing
MMR,security,0,missing
MMR,finance,0,missing
