dataset,source_column,output_column
vdem,v2ellocpwr_ord,vdem__v2ellocpwr_ord
vdem,v2ellocpwr_ord_codelow,vdem__v2ellocpwr_ord_codelow
vdem,v2ellocpwr_ord_codehigh,vdem__v2ellocpwr_ord_codehigh
vdem,v2ellocpwr_mean,vdem__v2ellocpwr_mean
vdem,v2ellocpwr_nr,vdem__v2ellocpwr_nr
vdem,v2elffelr,vdem__v2elffelr
vdem,v2elffelr_codelow,vdem__v2elffelr_codelow
vdem,v2elffelr_codehigh,vdem__v2elffelr_codehigh
vdem,v2elffelr_sd,vdem__v2elffelr_sd
vdem,v2elffelr_osp,vdem__v2elffelr_osp
vdem,v2elffelr_osp_codelow,vdem__v2elffelr_osp_codelow
vdem,v2elffelr_osp_codehigh,vdem__v2elffelr_osp_codehigh
vdem,v2elffelr_osp_sd,vdem__v2elffelr_osp_sd
vdem,v2elffelr_ord,vdem__v2elffelr_ord
vdem,v2elffelr_ord_codelow,vdem__v2elffelr_ord_codelow
vdem,v2elffelr_ord_codehigh,vdem__v2elffelr_ord_codehigh
vdem,v2elffelr_mean,vdem__v2elffelr_mean
vdem,v2elffelr_nr,vdem__v2elffelr_nr
vdem,v2elffelrbin,vdem__v2elffelrbin
vdem,v2elffelrbin_codelow,vdem__v2elffelrbin_codelow
vdem,v2elffelrbin_codehigh,vdem__v2elffelrbin_codehigh
vdem,v2elffelrbin_sd,vdem__v2elffelrbin_sd
vdem,v2elffelrbin_osp,vdem__v2elffelrbin_osp
vdem,v2elffelrbin_osp_codelow,vdem__v2elffelrbin_osp_codelow
vdem,v2elffelrbin_osp_codehigh,vdem__v2elffelrbin_osp_codehigh
vdem,v2elffelrbin_osp_sd,vdem__v2elffelrbin_osp_sd
vdem,v2elffelrbin_ord,vdem__v2elffelrbin_ord
vdem,v2elffelrbin_ord_codelow,vdem__v2elffelrbin_ord_codelow
vdem,v2elffelrbin_ord_codehigh,vdem__v2elffelrbin_ord_codehigh
vdem,v2elffelrbin_mean,vdem__v2elffelrbin_mean
